OrderID,CustomerID,ProductID,StoreID,Sales Channel,OrderDate,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 000159,47,1,60,Online,2018-06-06,1,0.4,857.6,686.08
SO - 000160,33,20,238,In-Store,2018-06-07,5,0.3,3892.7,2880.598
SO - 000161,26,21,151,In-Store,2018-06-07,6,0.075,3477.3,1390.92
SO - 000162,20,44,152,Online,2018-06-07,5,0.1,3738.6,2803.95
SO - 000163,6,8,262,Online,2018-06-07,5,0.3,1072.0,589.6
SO - 000164,40,46,120,In-Store,2018-06-07,7,0.05,2257.9,1761.162
SO - 000165,23,46,233,Online,2018-06-07,3,0.1,1058.6,751.606
SO - 000166,38,39,77,Online,2018-06-07,4,0.1,2492.4,1296.048
SO - 000167,30,11,69,In-Store,2018-06-07,5,0.05,3852.5,2465.6
SO - 000168,42,37,215,Distributor,2018-06-08,8,0.05,241.2,132.66
SO - 000169,1,35,30,In-Store,2018-06-08,2,0.15,1051.9,494.393
SO - 000170,11,10,169,Distributor,2018-06-08,5,0.3,227.8,107.066
SO - 000171,4,14,333,Distributor,2018-06-08,5,0.05,1078.7,506.989
SO - 000172,6,10,96,Wholesale,2018-06-08,8,0.15,1005.0,743.7
SO - 000173,17,45,289,Distributor,2018-06-08,5,0.05,2485.7,1317.421
SO - 000174,7,22,140,In-Store,2018-06-08,3,0.05,2659.9,2154.519
SO - 000175,1,1,107,In-Store,2018-06-09,1,0.075,2224.4,1579.324
SO - 000176,27,35,338,In-Store,2018-06-09,7,0.2,2472.3,1260.873
SO - 000177,33,15,232,In-Store,2018-06-09,5,0.05,1011.7,799.243
SO - 000178,28,28,231,Wholesale,2018-06-09,6,0.2,234.5,128.975
SO - 000179,42,11,158,Online,2018-06-09,4,0.075,261.3,143.715
SO - 000180,5,29,36,Online,2018-06-09,7,0.1,4006.6,2844.686
SO - 000181,10,28,206,In-Store,2018-06-09,7,0.05,1333.3,866.645
SO - 000182,34,15,255,In-Store,2018-06-10,5,0.05,167.5,90.45
SO - 000183,23,27,336,Online,2018-06-10,7,0.075,3195.9,1821.663
SO - 000184,18,15,307,Online,2018-06-10,1,0.05,1051.9,809.963
SO - 000185,8,28,9,Online,2018-06-10,4,0.1,5447.1,3540.615
SO - 000186,36,18,200,Online,2018-06-10,2,0.075,3182.5,1973.15
SO - 000187,47,30,337,In-Store,2018-06-11,3,0.1,891.1,632.681
SO - 000188,27,31,158,Online,2018-06-11,2,0.2,3892.7,2724.89
SO - 000189,5,8,249,Online,2018-06-11,2,0.4,3953.0,3360.05
SO - 000190,38,5,185,Online,2018-06-11,2,0.3,924.6,545.514
SO - 000191,21,10,189,Online,2018-06-11,7,0.3,3430.4,1989.632
SO - 000192,24,43,170,Distributor,2018-06-11,7,0.075,1152.4,622.296
SO - 000193,25,37,130,Distributor,2018-06-11,4,0.1,1085.4,922.59
SO - 000194,11,15,149,In-Store,2018-06-12,5,0.1,5031.7,4025.36
SO - 000195,17,33,99,Distributor,2018-06-12,7,0.15,1092.1,436.84
SO - 000196,5,17,21,Wholesale,2018-06-12,7,0.05,187.6,144.452
SO - 000197,30,1,90,Online,2018-06-12,4,0.05,3993.2,2835.172
SO - 000198,9,15,360,Online,2018-06-12,5,0.05,2472.3,1433.934
SO - 000199,47,47,23,In-Store,2018-06-12,4,0.05,1206.0,844.2
SO - 000200,5,40,144,Online,2018-06-12,5,0.05,1728.6,985.302
SO - 000201,23,23,134,Wholesale,2018-06-12,7,0.075,1983.2,1447.736
SO - 000202,14,11,180,Online,2018-06-12,2,0.2,5313.1,2656.55
SO - 000203,44,23,58,Distributor,2018-06-12,5,0.075,871.0,566.15
SO - 000204,38,43,175,Online,2018-06-13,2,0.1,2532.6,2051.406
SO - 000205,14,1,95,Online,2018-06-13,4,0.075,5916.1,4673.719
SO - 000206,34,31,231,Online,2018-06-13,1,0.075,2887.7,1443.85
SO - 000207,13,11,199,In-Store,2018-06-13,7,0.1,1855.9,1447.602
SO - 000208,5,39,58,In-Store,2018-06-13,5,0.1,207.7,135.005
SO - 000209,2,3,345,In-Store,2018-06-13,3,0.05,1058.6,772.778
SO - 000210,17,20,241,Online,2018-06-13,7,0.1,958.1,517.374
SO - 000211,40,27,186,In-Store,2018-06-13,7,0.2,2659.9,1675.737
SO - 000212,15,8,144,In-Store,2018-06-13,3,0.1,2217.7,1707.629
SO - 000213,12,11,40,Online,2018-06-14,1,0.3,1715.2,857.6
SO - 000214,25,32,288,In-Store,2018-06-14,7,0.15,3932.9,1691.147
SO - 000215,13,40,169,In-Store,2018-06-14,2,0.05,2546.0,1909.5
SO - 000216,18,21,277,Online,2018-06-14,1,0.075,837.5,603.0
SO - 000217,3,12,219,Online,2018-06-14,3,0.15,1809.0,1302.48
SO - 000218,25,11,306,Wholesale,2018-06-14,8,0.075,857.6,514.56
SO - 000219,11,22,7,In-Store,2018-06-14,6,0.05,1748.7,1101.681
SO - 000220,44,4,78,Wholesale,2018-06-14,1,0.075,1266.3,582.498
SO - 000221,30,9,28,In-Store,2018-06-14,5,0.1,5058.5,3591.535
SO - 000222,38,6,39,Distributor,2018-06-14,7,0.05,958.1,795.223
SO - 000223,47,2,122,Online,2018-06-14,8,0.15,1802.3,756.966
SO - 000224,17,32,48,In-Store,2018-06-15,4,0.075,6298.0,4534.56
SO - 000225,28,30,1,Online,2018-06-15,1,0.1,2499.1,1824.343
SO - 000226,5,23,198,In-Store,2018-06-15,3,0.1,871.0,705.51
SO - 000227,32,5,242,In-Store,2018-06-15,1,0.05,750.4,360.192
SO - 000228,21,14,200,Wholesale,2018-06-15,8,0.075,763.8,504.108
SO - 000229,49,25,304,In-Store,2018-06-15,6,0.1,844.2,565.614
SO - 000230,6,27,31,In-Store,2018-06-15,7,0.05,261.3,112.359
SO - 000231,47,33,71,Online,2018-06-15,2,0.05,3999.9,2359.941
SO - 000232,32,18,250,In-Store,2018-06-15,6,0.05,1112.2,811.906
SO - 000233,18,2,167,In-Store,2018-06-15,2,0.075,2633.1,1843.17
SO - 000234,8,4,132,Distributor,2018-06-15,6,0.2,1018.4,631.408
SO - 000235,24,21,56,In-Store,2018-06-15,4,0.15,5219.3,3444.738
SO - 000236,11,26,259,Distributor,2018-06-15,1,0.15,3999.9,2359.941
SO - 000237,50,25,341,Online,2018-06-16,5,0.4,1721.9,1084.797
SO - 000238,7,37,195,In-Store,2018-06-16,6,0.15,737.0,456.94
SO - 000239,2,40,33,Online,2018-06-16,3,0.05,1219.4,695.058
SO - 000240,18,41,279,In-Store,2018-06-16,8,0.05,891.1,712.88
SO - 000241,28,9,148,In-Store,2018-06-16,1,0.15,978.2,743.432
SO - 000242,47,17,170,In-Store,2018-06-16,1,0.15,3946.3,1657.446
SO - 000243,27,38,181,In-Store,2018-06-16,2,0.4,1299.8,922.858
SO - 000244,21,12,77,Online,2018-06-17,4,0.05,5815.6,2791.488
SO - 000245,43,23,122,In-Store,2018-06-17,6,0.15,1092.1,655.26
SO - 000246,42,18,36,Distributor,2018-06-17,6,0.15,1072.0,643.2
SO - 000247,34,16,217,Online,2018-06-17,5,0.05,4020.0,2653.2
SO - 000248,37,12,63,Online,2018-06-17,4,0.15,984.9,669.732
SO - 000249,50,7,341,Distributor,2018-06-17,7,0.05,227.8,100.232
SO - 000250,17,35,36,In-Store,2018-06-17,3,0.15,3993.2,3314.356
SO - 000251,25,26,163,Online,2018-06-17,4,0.075,221.1,185.724
SO - 000252,21,43,101,Online,2018-06-18,6,0.075,3356.7,2819.628
SO - 000253,35,12,321,In-Store,2018-06-18,1,0.05,1701.8,1157.224
SO - 000254,9,8,276,In-Store,2018-06-18,3,0.15,2566.1,2181.185
SO - 000255,22,5,101,In-Store,2018-06-18,4,0.05,221.1,126.027
SO - 000256,28,4,248,In-Store,2018-06-18,1,0.1,1782.2,980.21
SO - 000257,41,35,95,Distributor,2018-06-18,8,0.05,2003.3,801.32
SO - 000258,28,5,33,Distributor,2018-06-18,5,0.075,2385.2,1502.676
SO - 000259,22,21,12,Online,2018-06-18,1,0.1,2231.1,1784.88
SO - 000260,26,35,119,In-Store,2018-06-18,1,0.05,1005.0,412.05
SO - 000261,12,40,290,Distributor,2018-06-18,7,0.05,2693.4,1939.248
SO - 000262,31,36,110,Online,2018-06-18,4,0.075,1105.5,652.245
SO - 000263,25,39,87,Online,2018-06-19,1,0.075,1909.5,1088.415
SO - 000264,35,38,177,Distributor,2018-06-19,7,0.2,1118.9,850.364
SO - 000265,45,8,94,In-Store,2018-06-19,7,0.2,1038.5,758.105
SO - 000266,19,19,126,In-Store,2018-06-19,6,0.05,6324.8,4300.864
SO - 000267,16,9,17,In-Store,2018-06-19,7,0.2,1005.0,502.5
SO - 000268,15,2,178,In-Store,2018-06-19,5,0.075,1293.1,659.481
SO - 000269,8,36,76,In-Store,2018-06-19,6,0.4,844.2,540.288
SO - 000270,27,1,318,In-Store,2018-06-19,4,0.05,247.9,195.841
SO - 000271,12,21,217,Distributor,2018-06-19,7,0.3,174.2,139.36
SO - 000272,30,12,278,In-Store,2018-06-20,6,0.1,1025.1,707.319
SO - 000273,19,23,341,Distributor,2018-06-20,3,0.15,3068.6,2301.45
SO - 000274,44,3,122,Online,2018-06-20,2,0.075,241.2,115.776
SO - 000275,24,47,200,In-Store,2018-06-20,1,0.2,174.2,139.36
SO - 000276,10,37,30,In-Store,2018-06-20,2,0.2,2505.8,1804.176
SO - 000277,35,31,233,Distributor,2018-06-20,7,0.15,2599.6,1637.748
SO - 000278,38,28,151,Online,2018-06-20,6,0.15,2278.0,1503.48
SO - 000279,31,25,353,Distributor,2018-06-21,2,0.075,1092.1,589.734
SO - 000280,40,7,43,Wholesale,2018-06-21,5,0.2,1139.0,933.98
SO - 000281,9,47,339,In-Store,2018-06-21,2,0.15,1675.0,1072.0
SO - 000282,41,26,228,Wholesale,2018-06-21,2,0.05,1011.7,687.956
SO - 000283,11,46,128,Wholesale,2018-06-21,7,0.1,938.0,412.72
SO - 000284,48,2,55,Wholesale,2018-06-21,8,0.05,2566.1,1052.101
SO - 000285,4,33,177,Distributor,2018-06-22,5,0.1,871.0,374.53
SO - 000286,4,18,81,In-Store,2018-06-22,1,0.1,2485.7,1789.704
SO - 000287,40,41,365,In-Store,2018-06-22,4,0.4,2345.0,1922.9
SO - 000288,19,27,48,Online,2018-06-22,2,0.05,1118.9,749.663
SO - 000289,24,42,11,In-Store,2018-06-22,4,0.1,1996.6,1397.62
SO - 000290,6,39,127,In-Store,2018-06-22,1,0.075,710.2,390.61
SO - 000291,6,35,201,Online,2018-06-22,4,0.05,3979.8,1790.91
SO - 000292,9,28,339,In-Store,2018-06-22,3,0.075,1025.1,440.793
SO - 000293,3,9,198,In-Store,2018-06-22,7,0.2,2519.2,1309.984
SO - 000294,36,2,150,Online,2018-06-22,7,0.05,5031.7,3471.873
SO - 000295,27,46,311,Online,2018-06-23,1,0.1,1829.1,768.222
SO - 000296,29,25,304,In-Store,2018-06-23,5,0.075,1072.0,900.48
SO - 000297,11,32,247,In-Store,2018-06-23,1,0.2,2539.3,1828.296
SO - 000298,24,41,265,In-Store,2018-06-23,1,0.075,3899.4,2027.688
SO - 000299,38,37,366,In-Store,2018-06-24,3,0.2,5045.1,3380.217
SO - 000300,38,14,125,Online,2018-06-24,8,0.05,1005.0,522.6
SO - 000301,20,47,182,Wholesale,2018-06-24,7,0.1,2438.8,1219.4
SO - 000302,46,24,152,In-Store,2018-06-25,4,0.3,3336.6,2035.326
SO - 000303,38,25,256,In-Store,2018-06-25,4,0.15,1098.8,857.064
SO - 000304,5,20,66,Online,2018-06-25,2,0.075,1902.8,970.428
SO - 000305,32,33,156,Online,2018-06-25,4,0.075,3477.3,2190.699
SO - 000306,36,10,200,Wholesale,2018-06-26,1,0.1,2599.6,1481.772
SO - 000307,1,7,299,Online,2018-06-26,1,0.075,1078.7,506.989
SO - 000308,22,31,199,Online,2018-06-26,5,0.2,1045.2,533.052
SO - 000309,21,1,157,Online,2018-06-26,2,0.05,1125.6,787.92
SO - 000310,14,22,187,In-Store,2018-06-26,8,0.05,1105.5,762.795
SO - 000311,50,46,84,Online,2018-06-26,1,0.1,2606.3,1668.032
SO - 000312,41,25,228,Distributor,2018-06-26,8,0.075,227.8,95.676
SO - 000313,35,29,180,Distributor,2018-06-26,7,0.05,167.5,123.95
SO - 000314,21,16,250,In-Store,2018-06-26,3,0.1,1145.7,538.479
SO - 000315,37,36,326,In-Store,2018-06-26,7,0.075,2599.6,2157.668
SO - 000316,14,18,136,Distributor,2018-06-27,1,0.05,3939.6,1969.8
SO - 000317,18,37,112,In-Store,2018-06-27,8,0.075,2881.0,1584.55
SO - 000318,22,43,108,In-Store,2018-06-27,2,0.05,3852.5,2003.3
SO - 000319,48,42,56,Wholesale,2018-06-27,2,0.05,1139.0,546.72
SO - 000320,7,25,195,Distributor,2018-06-27,4,0.05,2519.2,2040.552
SO - 000321,33,42,82,In-Store,2018-06-27,1,0.15,1192.6,703.634
SO - 000322,18,14,215,In-Store,2018-06-27,5,0.075,2412.0,1013.04
SO - 000323,6,47,134,In-Store,2018-06-27,7,0.05,2479.0,2057.57
SO - 000324,10,35,322,Wholesale,2018-06-27,7,0.1,1956.4,1330.352
SO - 000325,4,42,176,Online,2018-06-27,5,0.3,1078.7,722.729
SO - 000326,22,26,70,In-Store,2018-06-27,1,0.075,1212.7,945.906
SO - 000327,48,29,252,Online,2018-06-27,5,0.075,978.2,821.688
SO - 000328,28,45,275,In-Store,2018-06-27,3,0.05,174.2,120.198
SO - 000329,25,17,226,Online,2018-06-27,3,0.15,1125.6,630.336
SO - 000330,49,6,288,Online,2018-06-28,6,0.15,1065.3,468.732
SO - 000331,11,12,60,Online,2018-06-28,5,0.075,3892.7,2724.89
SO - 000332,19,9,297,Online,2018-06-28,2,0.3,207.7,120.466
SO - 000333,20,23,75,In-Store,2018-06-28,7,0.3,1185.9,948.72
SO - 000334,15,18,352,In-Store,2018-06-28,2,0.15,2586.2,1629.306
SO - 000335,26,30,25,In-Store,2018-06-28,4,0.3,2579.5,1960.42
SO - 000336,7,36,23,Online,2018-06-28,8,0.075,6378.4,2806.496
SO - 000337,26,31,292,Distributor,2018-06-28,7,0.2,3008.3,2226.142
SO - 000338,49,20,140,In-Store,2018-06-28,3,0.075,1755.4,930.362
SO - 000339,28,14,171,Online,2018-06-28,8,0.075,1139.0,740.35
SO - 000340,46,38,44,In-Store,2018-06-28,5,0.075,6157.3,4556.402
SO - 000341,33,40,43,Online,2018-06-28,7,0.1,2231.1,1093.239
SO - 000342,23,8,64,In-Store,2018-06-28,7,0.1,2479.0,1859.25
SO - 000343,35,10,18,Distributor,2018-06-29,4,0.05,6391.8,4793.85
SO - 000344,4,39,263,Wholesale,2018-06-29,2,0.05,1139.0,660.62
SO - 000345,38,36,196,Online,2018-06-29,3,0.1,2586.2,1681.03
SO - 000346,36,35,206,In-Store,2018-06-29,4,0.05,3899.4,1871.712
SO - 000347,25,43,80,In-Store,2018-06-29,8,0.05,951.4,599.382
SO - 000348,8,38,172,In-Store,2018-06-30,1,0.05,5607.9,3476.898
SO - 000349,12,37,274,In-Store,2018-06-30,2,0.075,1165.8,827.718
SO - 000350,17,44,277,Online,2018-06-30,2,0.05,1949.7,1520.766
SO - 000351,40,34,147,Distributor,2018-06-30,8,0.1,3685.0,2690.05
SO - 000352,3,17,332,Distributor,2018-06-30,2,0.4,2633.1,1816.839
SO - 000353,26,23,274,Online,2018-06-30,1,0.075,1072.0,460.96
SO - 000354,38,8,33,In-Store,2018-06-30,1,0.075,3537.6,1910.304
SO - 000355,41,13,233,In-Store,2018-06-30,8,0.2,1092.1,622.497
SO - 000356,17,5,262,In-Store,2018-06-30,4,0.05,1748.7,1136.655
SO - 000357,49,9,6,Online,2018-06-30,8,0.075,891.1,739.613
SO - 000358,41,23,159,In-Store,2018-06-30,5,0.05,3082.0,1510.18
SO - 000359,34,15,148,In-Store,2018-06-30,5,0.075,1125.6,776.664
SO - 000360,46,22,102,In-Store,2018-06-30,6,0.075,1252.9,651.508
SO - 000361,44,45,362,Wholesale,2018-07-01,1,0.075,837.5,527.625
SO - 000362,21,40,295,Wholesale,2018-07-01,1,0.075,1031.8,773.85
SO - 000363,7,28,256,Online,2018-07-01,4,0.15,2385.2,1454.972
SO - 000364,48,30,154,In-Store,2018-07-01,2,0.05,1802.3,1153.472
SO - 000365,40,27,270,Wholesale,2018-07-01,5,0.05,1018.4,753.616
SO - 000366,35,40,102,Online,2018-07-01,7,0.4,3946.3,1815.298
SO - 000367,21,15,131,In-Store,2018-07-01,7,0.2,3953.0,2095.09
SO - 000368,1,33,160,In-Store,2018-07-02,6,0.075,5098.7,3416.129
SO - 000369,9,5,347,Online,2018-07-02,8,0.075,3758.7,1954.524
SO - 000370,9,18,45,Distributor,2018-07-02,7,0.15,911.2,610.504
SO - 000371,26,22,238,Distributor,2018-07-02,3,0.4,904.5,379.89
SO - 000372,21,5,128,Online,2018-07-02,3,0.05,911.2,410.04
SO - 000373,6,21,39,Online,2018-07-02,5,0.3,227.8,134.402
SO - 000374,14,40,69,In-Store,2018-07-02,4,0.075,254.6,117.116
SO - 000375,33,35,29,Wholesale,2018-07-02,3,0.075,683.4,444.21
SO - 000376,43,20,159,In-Store,2018-07-03,7,0.05,3919.5,2234.115
SO - 000377,25,12,353,Wholesale,2018-07-03,8,0.05,1092.1,786.312
SO - 000378,10,20,199,In-Store,2018-07-04,4,0.05,924.6,536.268
SO - 000379,45,22,182,Online,2018-07-04,8,0.05,1018.4,794.352
SO - 000380,19,13,358,In-Store,2018-07-04,7,0.2,1788.9,1305.897
SO - 000381,17,47,80,Distributor,2018-07-04,2,0.3,944.7,538.479
SO - 000382,39,29,140,Wholesale,2018-07-04,3,0.1,3959.7,2573.805
SO - 000383,11,41,146,In-Store,2018-07-04,5,0.05,167.5,70.35
SO - 000384,23,22,104,Wholesale,2018-07-04,2,0.05,3872.6,1975.026
SO - 000385,12,23,185,In-Store,2018-07-04,8,0.05,6539.2,3858.128
SO - 000386,44,6,51,Distributor,2018-07-04,1,0.1,1025.1,779.076
SO - 000387,31,29,190,Distributor,2018-07-04,3,0.1,938.0,572.18
SO - 000388,19,27,355,Wholesale,2018-07-04,3,0.075,1045.2,804.804
SO - 000389,20,19,205,Wholesale,2018-07-04,8,0.15,167.5,112.225
SO - 000390,44,45,334,Online,2018-07-04,5,0.075,1721.9,1377.52
SO - 000391,30,28,242,Online,2018-07-05,3,0.1,676.7,466.923
SO - 000392,47,24,162,In-Store,2018-07-05,2,0.075,167.5,82.075
SO - 000393,26,12,255,In-Store,2018-07-05,5,0.075,1118.9,895.12
SO - 000394,17,32,24,Wholesale,2018-07-05,3,0.075,1139.0,933.98
SO - 000395,44,41,278,In-Store,2018-07-05,4,0.1,1748.7,751.941
SO - 000396,13,27,258,In-Store,2018-07-05,8,0.05,1728.6,1140.876
SO - 000397,13,23,183,Wholesale,2018-07-05,8,0.075,1112.2,500.49
SO - 000398,9,1,58,In-Store,2018-07-05,6,0.05,2385.2,1454.972
SO - 000399,18,3,83,Wholesale,2018-07-05,8,0.3,221.1,172.458
SO - 000400,1,29,120,Distributor,2018-07-06,7,0.05,5708.4,2682.948
SO - 000401,38,40,288,Online,2018-07-06,1,0.3,1038.5,830.8
SO - 000402,43,35,19,In-Store,2018-07-06,4,0.15,3993.2,3234.492
SO - 000403,14,33,191,Online,2018-07-06,8,0.2,1085.4,792.342
SO - 000404,36,23,278,Online,2018-07-06,7,0.1,3886.0,2020.72
SO - 000405,21,4,294,In-Store,2018-07-06,3,0.2,3986.5,2670.955
SO - 000406,41,32,120,Online,2018-07-06,3,0.075,1206.0,988.92
SO - 000407,38,7,357,Wholesale,2018-07-07,1,0.3,1842.5,1050.225
SO - 000408,22,35,296,Wholesale,2018-07-07,3,0.05,5051.8,2930.044
SO - 000409,4,39,248,Online,2018-07-07,1,0.075,1165.8,466.32
SO - 000410,21,2,333,Online,2018-07-07,8,0.075,3966.4,2340.176
SO - 000411,17,22,322,Online,2018-07-07,3,0.2,1802.3,1495.909
SO - 000412,36,31,153,Online,2018-07-08,5,0.075,1105.5,851.235
SO - 000413,16,32,46,Online,2018-07-08,7,0.05,1889.4,1398.156
SO - 000414,40,4,351,Online,2018-07-08,7,0.075,1018.4,661.96
SO - 000415,8,40,293,In-Store,2018-07-08,5,0.05,3865.9,2822.107
SO - 000416,30,13,256,Wholesale,2018-07-08,7,0.1,998.3,449.235
SO - 000417,48,31,148,Online,2018-07-08,2,0.075,254.6,127.3
SO - 000418,13,38,6,Online,2018-07-08,5,0.4,703.5,316.575
SO - 000419,47,1,62,Distributor,2018-07-08,6,0.05,1092.1,546.05
SO - 000420,6,3,61,Online,2018-07-08,4,0.05,1038.5,560.79
SO - 000421,50,37,188,In-Store,2018-07-08,4,0.15,2398.6,1894.894
SO - 000422,32,7,150,Wholesale,2018-07-09,4,0.05,897.8,368.098
SO - 000423,30,46,39,Distributor,2018-07-09,7,0.15,5212.6,3179.686
SO - 000424,46,22,102,Online,2018-07-09,3,0.05,254.6,206.226
SO - 000425,29,3,236,In-Store,2018-07-09,4,0.075,3926.2,2120.148
SO - 000426,13,12,312,Online,2018-07-09,8,0.1,1165.8,582.9
SO - 000427,44,6,183,In-Store,2018-07-09,1,0.15,3859.2,2354.112
SO - 000428,4,41,69,In-Store,2018-07-09,6,0.05,167.5,100.5
SO - 000429,22,24,330,Distributor,2018-07-09,8,0.05,1681.7,891.301
SO - 000430,38,3,137,Distributor,2018-07-09,8,0.05,924.6,665.712
SO - 000431,13,21,119,Distributor,2018-07-09,6,0.1,3966.4,3371.44
SO - 000432,19,43,283,Online,2018-07-09,7,0.1,938.0,450.24
SO - 000433,20,30,81,In-Store,2018-07-10,6,0.2,1983.2,1090.76
SO - 000434,27,7,165,In-Store,2018-07-10,7,0.075,2586.2,2094.822
SO - 000435,14,2,87,In-Store,2018-07-11,3,0.05,3061.9,2051.473
SO - 000436,30,39,323,Wholesale,2018-07-11,1,0.2,1051.9,452.317
SO - 000437,11,2,225,Distributor,2018-07-11,8,0.15,261.3,104.52
SO - 000438,4,37,138,In-Store,2018-07-11,6,0.05,6143.9,3071.95
SO - 000439,45,43,143,Distributor,2018-07-11,7,0.2,2472.3,1928.394
SO - 000440,6,9,316,In-Store,2018-07-11,3,0.075,3892.7,3075.233
SO - 000441,33,14,216,In-Store,2018-07-11,1,0.05,964.8,492.048
SO - 000442,46,12,342,In-Store,2018-07-11,8,0.2,3832.4,3104.244
SO - 000443,12,45,190,In-Store,2018-07-11,7,0.2,964.8,781.488
SO - 000444,48,40,122,In-Store,2018-07-11,1,0.05,1118.9,794.419
SO - 000445,43,6,319,Online,2018-07-11,8,0.05,180.9,74.169
SO - 000446,23,24,96,Distributor,2018-07-11,7,0.05,844.2,346.122
SO - 000447,25,11,96,In-Store,2018-07-11,7,0.2,3490.7,1780.257
SO - 000448,39,9,66,Online,2018-07-12,5,0.2,1112.2,778.54
